country,region,surface_area,population_in_thousands_2017,population_density_per_km2_2017,sex_ratio_m_per_100_f_2017,gross_domestic_product_million_current_us$,gdp_growth_rate_annual_percentage_const_2005_prices,gdp_per_capita_current_us$,economy_agriculture_percent_of_gva,economy_industry_percent_of_gva,economy_services_and_other_activity_percent_of_gva,employment_agriculture_percent_of_employed,employment_industry_percent_of_employed,employment_services_percent_of_employed,unemployment_percent_of_labour_force,agricultural_production_index,food_production_index,international_trade_exports_million_us$,international_trade_imports_million_us$,international_trade_balance_million_us$,balance_of_payments_current_account_million_us$,population_growth_rate_average_annual_percent,urban_population_percent_of_total_population,urban_population_growth_rate_average_annual_percent,fertility_rate_total_live_births_per_woman,un_population_density_per_km2_2017,un_sex_ratio_m_per_100_f,un_gross_domestic_product_million_current_us$,un_fertility_rate_total_live_births_per_woman
Afghanistan,SouthernAsia,652864,35530,54.4,106.3,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10,28.5,8.6,125,125,1458,3568,-2110,-5121,3.2,26.7,4,5.3,54.4,106.3,20270,5.3
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,15.8,134,134,1962,4669,-2707,-1222,-0.1,57.4,2.2,1.7,106.9,101.9,11541,1.7
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3,3489.1,19,28.3,52.8,35,15.7,49.3,16.6,135,135,1776,3230,-1455,-279,0.3,62.7,-0.1,1.6,102.9,88.8,10529,1.6
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131,136,9143,8532,611,-222,1.3,54.6,1.6,2.1,118.9,99.3,53049,2.1
Belize,CentralAmerica,22966,375,16.4,99.2,1721,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97,97,246,952,-706,-175,2.2,44,1.9,2.6,16.4,99.2,1721,2.6
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1,152,158,410,2630,-2220,-885,2.8,44,3.7,5.2,99.1,99.5,8476,5.2
Bhutan,SouthernAsia,38394,808,21.2,113.1,2074,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98,98,616,1688,-1072,-579,1.6,38.6,3.7,2.2,21.2,113.1,2074,2.2
Brazil,SouthAmerica,8515767,209288,25,96.6,1772591,-3.8,8528.3,5.2,22.7,72,15.2,21.5,63.2,12.4,135,136,185235,137552,47683,-58882,0.9,85.7,1.2,1.8,25,96.6,1772591,1.8
Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,11065,4.1,611.1,34.5,21.8,43.7,80,4.9,15.1,2.9,131,134,2019,3699,-1680,-998,3,29.9,5.9,5.6,70.2,99.5,11065,5.6
Burundi,EasternAfrica,27830,10864,423.1,96.9,2735,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,1.7,109,122,123,625,-502,-375,3,12.1,5.7,6,423.1,96.9,2735,6
Cambodia,South-easternAsia,181035,16005,90.7,95.3,18050,7,1158.7,28.2,29.4,42.3,42.4,19.6,38,0.3,175,177,13204,15313,-2109,-1657,1.6,20.7,2.6,2.7,90.7,95.3,18050,2.7
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155,160,2130,4899,-2768,-1173,2.7,54.4,3.6,5,50.9,100.2,28416,5
Chile,SouthAmerica,756102,18055,24.3,98.2,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111,111,59884,58804,1080,-4761,0.9,89.5,1.1,1.8,24.3,98.2,240796,1.8
China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,4.6,132,133,2118981,1588696,530285,330602,0.5,55.6,3,1.6,150.1,106.3,11158457,1.6
Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6056.1,6.8,34,59.2,13.5,16.6,69.9,10.5,114,115,31045,44831,-13786,-18922,1,76.4,1.7,1.9,44.2,96.8,292080,1.9
Congo,MiddleAfrica,342000,5261,15.4,100.1,8493,1.2,1838.1,4.7,70,25.3,40.7,25.8,33.5,11.5,106,106,2540,9793,-7253,NaN,2.6,65.4,3.2,4.9,15.4,100.1,8493,4.9
Costa Rica,CentralAmerica,51100,4906,96.1,100.1,52958,3.7,11015,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127,129,9908,15322,-5414,-2493,1.1,76.8,2.7,1.9,96.1,100.1,52958,1.9
Dominican Republic,Caribbean,48671,10767,222.8,99.2,67103,7,6373.6,6.6,28,65.4,13.1,16.9,70,14.4,136,138,3747,22725,-18978,-1335,1.2,79,2.6,2.5,222.8,99.2,67103,2.5
Ecuador,SouthAmerica,257217,16625,66.9,99.9,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,118,119,16798,16189,609,-2201,1.6,63.7,1.9,2.6,66.9,99.9,100177,2.6
Egypt,NorthernAfrica,1002000,97553,98,102.3,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,120,122,22507,58053,-35545,-16786,2.2,43.1,1.7,3.4,98,102.3,315917,3.4
El Salvador,CentralAmerica,21041,6378,307.8,88.5,25850,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,6.4,111,117,5335,9855,-4519,-920,0.5,66.7,1.4,2.2,307.8,88.5,25850,2.2
Georgia,WesternAsia,69700,3912,56.3,91.4,13965,2.8,3491.4,9,24.1,66.9,44.7,11.2,44.1,11.4,85,86,2114,7236,-5122,-1775,-1.4,53.6,-0.1,2,56.3,91.4,13965,2
Ghana,WesternAfrica,238537,28834,126.7,99.3,37156,3.9,1355.6,19,26.9,54.1,41.9,14.2,43.8,5.9,144,144,7221,11939,-4718,-2809,2.4,54,3.4,4.2,126.7,99.3,37156,4.2
Guam,Micronesia,549,164,304.1,102.6,-99,-99,-99,-99,-99,-99,0.2,14,85.7,10.7,88,88,-99,-99,-99,-99,0.3,94.5,1.4,2.4,304.1,102.6,-99,2.4
Guatemala,CentralAmerica,108889,16914,157.8,96.9,63794,4.1,3903.5,10.8,27.2,62,32,18.5,49.4,2.4,158,158,10572,16987,-6415,-96,2.1,51.6,3.4,3.2,157.8,96.9,63794,3.2
Haiti,Caribbean,27750,10981,398.4,97.8,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,163,166,984,3316,-2332,-723,1.4,58.6,3.8,3.1,398.4,97.8,8501,3.1
Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,3.6,2521.9,13,25.1,61.9,29.4,21.6,49,5.6,122,119,3657,8448,-4791,-1291,1.8,54.7,3.1,2.6,82.8,99.4,20365,2.6
India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,17,29.7,53.2,44.3,24.5,31.2,3.4,143,142,260327,356705,-96378,-22457,1.2,32.7,2.4,2.4,450.4,107.6,2116239,2.4
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,3346.5,14,41.3,44.7,31.4,22.4,46.2,5.8,139,140,144490,135653,8837,-17697,1.2,53.7,2.7,2.4,145.7,101.4,861934,2.4
Iraq,WesternAsia,435052,38275,88.1,102.5,164234,-2.4,4509,4.6,58,37.4,20.4,21,58.6,16.1,123,123,27341,45831,-18490,4121,3.2,69.5,3,4.6,88.1,102.5,164234,4.6
Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,1.3,21.2,77.5,1,17.9,81,5.9,112,112,60571,65803,-5232,13642,1.6,92.1,1.4,3,384.5,98.7,299413,3
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,4,27.7,68.4,2,17.8,80.2,13.4,134,135,7509,19207,-11698,-3332,4.9,83.7,3.8,3.6,109.3,102.6,37517,3.6
Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,5.6,1376.7,32,19,49,61.9,8.6,29.5,10.8,126,126,5688,14109,-8420,-6339,2.7,25.6,4.3,4.1,87.3,98.8,63399,4.1
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21,49.8,7.7,108,110,1423,3844,-2421,-721,1.6,35.7,1.6,3.1,31.5,98.4,6572,3.1
Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,99.5,12585,7.6,1850.2,23.6,32.8,43.6,78.3,4,17.7,1.5,193,186,2066,4513,-2447,-2264,1.3,38.6,4.9,2.9,29.7,99.5,12585,2.9
Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,1.5,8571.4,3.2,19.6,77.2,8.2,22.4,69.4,7,95,95,3402,20409,-17007,-8146,6,87.8,3.2,1.7,594.6,100.6,50149,1.7
Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2008,2.8,940.6,7.7,31.3,61,39.7,20,40.3,27.5,101,100,648,1727,-1079,-168,1.3,27.3,3,3.3,73.6,94.4,2008,3.3
Liberia,WesternAfrica,111369,4732,49.1,101.8,2053,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43,4.1,104,121,641,727,-86,-860,2.6,49.7,3.4,4.8,49.1,101.8,2053,4.8
Madagascar,EasternAfrica,587295,25571,44,99.5,9739,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119,120,2256,2965,-709,-622,2.7,35.1,4.7,4.4,44,99.5,9739,4.4
Malawi,EasternAfrica,118484,18622,197.5,98.2,6420,3,372.9,26.1,16.6,57.3,69.9,4.8,25.4,6.8,149,150,875,1649,-774,-710,2.9,16.3,3.8,4.9,197.5,98.2,6420,4.9
Mali,WesternAfrica,1240192,18542,15.2,100.2,13100,7.6,744.3,39.9,19.6,40.5,56.7,14.7,28.6,8.1,154,157,3030,2510,520,-676,2.9,39.9,5.1,6.4,15.2,100.2,13100,6.4
Mauritania,WesternAfrica,1030700,4420,4.3,101.6,5023,1.2,1235,20.9,41.7,37.4,40.3,9.5,50.2,12,125,125,1623,2174,-551,-1066,2.9,59.9,3.5,4.9,4.3,101.6,5023,4.9
Mexico,CentralAmerica,1964375,129163,66.4,99.2,1140724,2.5,8980.9,3.6,36,60.4,13.4,25.2,61.3,4.1,120,120,373883,387064,-13181,-33216,1.4,79.2,1.6,2.3,66.4,99.2,1140724,2.3
Mongolia,EasternAsia,1564116,3076,2,97.9,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,147,149,4917,3358,1559,-948,1.9,72,2.8,2.8,2,97.9,11758,2.8
Mozambique,EasternAfrica,799380,29669,37.7,95.5,14806,6.6,529.2,24.6,21,54.4,75,4.1,21,24.1,137,137,3352,5295,-1943,-5833,2.9,32.2,3.3,5.4,37.7,95.5,14806,5.4
Namibia,SouthernAfrica,824116,2534,3.1,94.7,11491,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,88,89,4816,6721,-1905,-1700,2.2,46.7,4.2,3.6,3.1,94.7,11491,3.6
Nepal,SouthernAsia,147181,29305,204.4,94.3,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3,139,139,703,5249,-4547,2447,1.2,18.6,3.2,2.3,204.4,94.3,20658,2.3
Nicaragua,CentralAmerica,130373,6218,51.7,97.2,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225,5927,-3701,-1045,1.2,58.8,2,2.3,51.7,97.2,12693,2.3
Nigeria,WesternAfrica,923768,190886,209.6,102.7,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116,117,104084,36533,67551,-15763,2.7,47.8,4.7,5.7,209.6,102.7,494583,5.7
Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,5.9,135,138,20534,46998,-26464,-1603,2.1,38.8,2.8,3.7,255.6,105.6,266458,3.7
Panama,CentralAmerica,75320,4099,55.1,100.4,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,6.2,117,118,636,11697,-11061,-3377,1.7,66.6,2.1,2.6,55.1,100.4,52132,2.6
Paraguay,SouthAmerica,406752,6811,17.1,102.9,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,5.5,160,166,8494,9753,-1259,-462,1.3,59.7,2.1,2.6,17.1,102.9,27714,2.6
Peru,SouthAmerica,1285216,32166,25.1,99.8,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145,148,36040,36185,-145,-9210,1.3,78.6,1.7,2.5,25.1,99.8,190428,2.5
Philippines,South-easternAsia,300000,104918,351.9,101.3,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122,120,56313,85909,-29596,7694,1.6,44.4,1.3,3,351.9,101.3,292449,3
Puerto Rico,Caribbean,8868,3663,413,92.6,102906,0,27939,0.8,50,49.1,2,17.5,80.5,12.8,110,111,-99,-99,-99,-99,-0.2,93.6,-0.2,1.5,413,92.6,102906,1.5
Rwanda,EasternAfrica,26338,12208,494.9,96.2,8096,6.9,697.3,34.6,15.1,50.3,75,7.2,17.8,2.4,139,139,622,1778,-1157,-1099,2.5,28.8,6.4,4.2,494.9,96.2,8096,4.2
Saint Vincent and the Grenadines,Caribbean,389,110,281.8,101.7,738,1.6,6739.2,7.5,17.2,75.3,22.1,16.1,61.8,19.1,115,115,47,335,-288,-210,0,50.6,0.7,2,281.8,101.7,738,2
Samoa,Polynesia,2842,196,69.4,106.6,774,2.8,4006,9.3,24.2,66.6,5.3,14.8,79.8,6.5,107,107,56,350,-294,-44,0.8,19.1,-0.2,4.2,69.4,106.6,774,4.2
Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,126,127,2640,5478,-2838,-1348,3,43.7,3.6,5,82.3,96.6,13633,5
Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,-20.3,694.8,51.4,17.6,31.1,68,6.5,25.5,3.1,168,168,466,958,-492,-1317,2.3,39.9,2.7,4.8,104.7,98.1,4483,4.8
Solomon Islands,Melanesia,28896,611,21.8,103.4,1075,3.2,1841.6,28.2,15.6,56.3,48.1,2.4,49.5,31.4,118,118,437,454,-17,-36,2.1,22.3,4.2,4.1,21.8,103.4,1075,4.1
Somalia,EasternAfrica,637657,14742,23.5,99.3,1559,2.7,144.5,60.2,7.4,32.5,72,4.8,23.2,6.6,112,112,925,530,394,-99,2.9,39.6,4.1,6.6,23.5,99.3,1559,6.6
South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,1.3,5773,2.4,28.9,68.7,6.1,26.2,67.7,26,125,126,74111,74744,-633,-13644,1.4,64.8,1.6,2.6,46.8,96.4,314571,2.6
South Sudan,EasternAfrica,658841,12576,20.6,100.4,13167,2,1067,4.6,58,37.4,-99,-99,-99,NaN,-99,-99,2389,750,1640,-935,3.3,18.8,5.1,5.2,20.6,100.4,13167,5.2
Suriname,SouthAmerica,163820,563,3.6,100.7,4879,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,9.9,152,152,1437,1244,193,-808,1,66,0.8,2.5,3.6,100.7,4879,2.5
Tajikistan,CentralAsia,142600,8921,63.7,100.9,7853,4.2,925.9,25,28,47.1,57.2,13.4,29.4,10.8,155,172,899,3030,-2132,-472,2.2,26.8,2.6,3.5,63.7,100.9,7853,3.5
Thailand,South-easternAsia,513120,69038,135.1,95.2,395168,2.8,5814.8,9.1,35.7,55.1,34,22.7,43.3,0.6,129,126,213927,195666,18260,32149,0.4,50.4,3,1.5,135.1,95.2,395168,1.5
Timor-Leste,South-easternAsia,14919,1296,87.2,103.2,2873,4.3,2425.4,5.2,79.9,14.9,50.8,2,47.2,4.3,111,117,94,647,-553,238,2.2,32.8,3.8,5.9,87.2,103.2,2873,5.9
Togo,WesternAfrica,56785,7798,143.4,99.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140,143,715,1716,-1001,-461,2.6,40,3.8,4.7,143.4,99.4,4086,4.7
Turkey,WesternAsia,783562,80745,104.9,97,717888,4,9125.8,8.6,26.4,65,19.6,27.5,52.9,10.8,120,122,142606,198602,-55996,-32278,1.6,73.4,2,2.1,104.9,97,717888,2.1
Uganda,EasternAfrica,241550,42863,214.5,99,25282,5.4,647.7,25.6,21.5,52.9,72,7.4,20.5,2.4,93,90,2755,3750,-996,-2353,3.4,16.1,5.4,5.9,214.5,99,25282,5.9
Ukraine,EasternEurope,603500,44223,76.3,86,90615,-9.9,2021.6,14,26.3,59.7,15.7,24.6,59.7,8.8,137,137,36369,39184,-2815,-189,-0.5,69.7,-0.3,1.5,76.3,86,90615,1.5
Vanuatu,Melanesia,12189,276,22.7,102.4,737,-1,2783,26.7,8.4,64.9,61.4,6.8,31.8,5.3,123,122,50,416,-366,-82,2.3,26.1,3.4,3.4,22.7,102.4,737,3.4
Yemen,WesternAsia,527968,28250,53.5,102.1,29688,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,136,137,570,6861,-6291,-3026,2.6,34.6,4,4.4,53.5,102.1,29688,4.4
Zambia,EasternAfrica,752612,17094,23,98.5,21255,2.9,1311.1,8.2,32.3,59.5,54.8,9.9,35.3,7.4,179,180,6505,7442,-937,-768,3,40.9,4.3,5.2,23,98.5,21255,5.2
Zimbabwe,EasternAfrica,390757,16530,42.7,95,13893,1.1,890.4,13,30.5,56.5,67.5,7.3,25.2,5,99,98,2832,5212,-2379,-1521,2.3,32.4,2.3,4,42.7,95,13893,4
Cote D'Ivoire,WesternAfrica,322463,24295,76.4,102.7,32076,9.5,1412.9,23.7,28.3,48.1,56,5.7,38.4,9.3,122,123,10661,8380,2281,-633,2.5,54.2,3.7,5.1,,,,
Tanzania,EasternAfrica,947303,57310,64.7,97.8,45628,7,877.3,31.1,26.1,42.9,66.9,6.4,26.7,2.7,176,180,4742,7876,-3134,-3312,3.1,31.6,5.4,5.2,,,,
United States,NorthernAmerica,9833517,324460,35.5,98,18036648,2.6,56053.8,1,19.7,79.3,1.5,17.2,81.3,4.9,111,113,1453167,2249661,-796494,-462961,0.7,81.6,1,1.9,,,,
Palestine,WesternAsia,6020,4921,817.4,102.9,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,90,90,929,5058,-4128,-1713,2.7,75.3,2.8,4.2,,,,
Vietnam,South-easternAsia,330967,95541,308.1,98,193241,6.7,2067.9,18.9,37,44.2,41.8,22.9,35.2,2.2,136,134,176632,174111,2520,906,1.1,33.6,3,2,,,,
The Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,99.6,37569,7,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,104,104,5103,5906,-803,-1546,3.3,42.5,4,6.4,,,,
Myanmar (Burma),South-easternAsia,676577,53371,81.7,95.5,62601,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130,128,11673,15696,-4023,-3921,0.9,34.1,2.5,2.3,,,,
Virgin Islands,Caribbean,347,105,299.7,91.1,-99,-99,-99,-99,-99,-99,10.9,24,65.2,9,109,109,-99,-99,-99,-99,-0.2,95.3,0.3,2.3,,,,
Moldova,EasternEurope,33846,4051,123.3,92.2,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5,109,109,2045,4020,-1975,-415,-0.1,45,-0.7,1.3,,,,
Bolivia,SouthAmerica,1098581,11052,10.2,100.2,32998,4.8,3076.8,12.6,31,56.5,29.5,21.1,49.4,3.8,142,143,6969,8374,-1405,-1854,1.6,68.5,2.3,3,,,,
